ProviderID,Source,Location,Contact Number,Type,Latitude,Longitude,CMS Rating,Availability,Cost
44,Supplier Directory,"COLEMAN FAMILY PHARMACY, INC, 211 E RAILWAY ST, COLEMAN, MI",9894656661,Pharmacy,43.75619,-84.58619,5,12,1000
45,Supplier Directory,"KROGER LIMITED PARTNERSHIP I, 10721 CHAPMAN HWY, SEYMOUR, TN",8656091036,Pharmacy,35.87881,-83.77479,2,12,800
46,Supplier Directory,"APPY MEDICAL, LLC, 8789 S REDWOOD RD, WEST JORDAN, UT",8556132466,Medical Supply Company Other,40.59141299,-111.937331,5,12,600
47,Supplier Directory,"THE GIANT COMPANY LLC, 1000 SCOTT TOWN CTR, BLOOMSBURG, PA",5703899909,Pharmacy|Grocery Store,41.00692,-76.4349,3,12,1000
48,Supplier Directory,"AMERICAN HOMEPATIENT INC, 2604 N COURT ST, OTTUMWA, IA",6416828555,Medical Supply Company Other,41.05286,-92.40927,5,12,1000
49,Supplier Directory,"WILLISTON BASIN EYECARE ASSOCIATES PC, 1500 14TH ST W, WILLISTON, ND",7015773937,Optometrist,48.15754,-103.64258,2,12,200
50,Supplier Directory,"WILLIAMS BROS HEALTH CARE PHARMACY INC, 10 WILLIAMS BROTHERS DR, WASHINGTON, IN",8122542497,Medical Supply Company Other|Certified Other|MSC With Respiratory Therapist|Pharmacy,38.65411,-87.15348,1,12,800
51,Supplier Directory,"SAFEWAY INC, 13380 E MARY ANN CLEVELAND WAY, VAIL, AZ",5205267090,Pharmacy|Grocery Store,32.02308,-110.70873,3,12,200
52,Supplier Directory,"OTTO BOCK PATIENT CARE LLC, 1084 OLD DES PERES RD, SAINT LOUIS, MO",3147752041,Orthotic Personnel|Prosthetic Personnel,38.60016,-90.45325,5,12,800
53,Supplier Directory,"HANGER PROSTHETICS & ORTHOTICS INC, 113 KANDEMOR LN, ROCKY MOUNT, NC",2524435116,Orthotic Personnel|Prosthetic Personnel,35.96380251,-77.86024199,4,12,400
54,Supplier Directory,"SAMS EAST INC, 6521 SE 29TH ST, MIDWEST CITY, OK",4057377457,Pharmacy,35.43532,-97.4121,5,12,400
55,Supplier Directory,"MEDICAL HOTSPOTS INC, 6700 W VICKERY BLVD, FORT WORTH, TX",8178627412,Medical Supply Company Other|Pharmacy,32.70281398,-97.42707997,5,12,800
56,Supplier Directory,"CVS PHARMACY INC, 4522 FREDERICKSBURG RD, BALCONES HEIGHTS, TX",2102800001,Pharmacy,29.49255,-98.55354,5,12,400
57,Supplier Directory,"GIANT OF MARYLAND LLC, 5581 MERCHANTS VIEW SQUARE, HAYMARKET, VA",5712484551,Pharmacy,38.84404,-77.63888,5,12,1000
58,Supplier Directory,"ALTERNATIVE FOOT CLINIC APMC, 540 SHADOWS LN, BATON ROUGE, LA",2259287065,Medical Supply Company Other|MSC With Orthotic Personnel,30.7844,-91.36762,5,12,800
59,Supplier Directory,"THRIFTY DRUG STORES INC, 400 MAIN ST, COLD SPRING, MN",3206857015,Pharmacy,45.45571,-94.42975,4,12,200
60,Supplier Directory,"MIDWEST HEALTH INNOVATIONS LLC, 416 MAIN ST, SCRIBNER, NE",4026643133,Pharmacy,41.66603802,-96.66523496,5,12,1000
61,Supplier Directory,"WALGREEN CO, 5230 POPLAR TENT RD, CONCORD, NC",7047841977,Pharmacy,35.41307,-80.6651,5,12,600
62,Supplier Directory,"WALMART INC, 10355 WICKLOW WAY, JACKSON, CA",2092235193,Pharmacy,38.35889,-120.80457,5,12,600
63,Supplier Directory,"MERCY PHARMACY SERVICES, LLC, 5640 TELEGRAPH RD, OAKVILLE, MO",3148465778,Pharmacy,38.46645,-90.30577,4,12,200
64,Supplier Directory,"PUBLIX SUPER MARKETS INC, 1451 RIVERSTONE PKWY, CANTON, GA",7707201042,Pharmacy,34.24528,-84.48348,5,12,600
65,Supplier Directory,"MISSOURI CVS PHARMACY LLC, 2715 E BATTLEFIELD ST, SPRINGFIELD, MO",4178880298,Pharmacy,37.15937,-93.24203,5,12,600
66,Supplier Directory,"WALGREEN CO, 301 CORNELIA ST, PLATTSBURGH, NY",5183146487,Pharmacy,44.69732,-73.47806,5,12,600
67,Supplier Directory,"SHUMAN HEALTHCARE, 2015 TEBEAU ST, WAYCROSS, GA",9122855272,Medical Supply Company Other|Certified Other|MSC With Respiratory Therapist|MSC With Orthotic Personnel|MSC With Prosthetic Personnel|Orthotic Personnel,31.22848,-82.34627,5,12,400
68,Supplier Directory,"CHERYL K ROBSON OD PC, 905 CEDAR CREEK GRADE, WINCHESTER, VA",5406650541,Optometrist,39.16322,-78.19337,5,12,1000
69,Supplier Directory,"MEIJER INC, 5121 S WESTNEDGE AVE, PORTAGE, MI",2693372110,Pharmacy|Department Store|Grocery Store,42.24303,-85.58946,5,12,600
70,Supplier Directory,"BUTLER EYECARE, 702 OWENS DR, LEBANON, MO",4179913200,Optometrist,37.67176,-92.6654,3,12,200
71,Supplier Directory,"WALGREEN CO, 1600 DR MARTIN LUTHER KING JR DR, CROSSETT, AR",8703648220,Pharmacy,33.12431,-91.96668,1,12,800
72,Supplier Directory,"WALGREEN CO, 213 HOSPITAL RD., NEW ROADS, LA",2256385151,Pharmacy,30.68709,-91.46606,1,12,1000
73,Supplier Directory,"DOWN HOME RX, LLC, 1034 MAIN ST, BEAN STATION, TN",8659934074,Pharmacy,36.34721,-83.28482,2,12,600
74,Supplier Directory,"PUBLIX SUPER MARKETS INC, 4403 TOWNE LAKE PKWY, WOODSTOCK, GA",7705162046,Pharmacy,34.12856,-84.57788,5,12,200
75,Supplier Directory,"TWIN VALLEY PHARMACY, 120 MAIN AVE W, TWIN VALLEY, MN",2185845147,Pharmacy,47.26048,-96.26152,2,12,200
76,Supplier Directory,"CVS ALBANY LLC, 259 W MAIN ST, BATAVIA, NY",5853440525,Pharmacy,43.00195,-78.19648,5,12,1000
77,Supplier Directory,"GARFIELD BEACH CVS LLC, 16 3RD AVE, CHULA VISTA, CA",6194251910,Pharmacy,32.64999,-117.08504,5,12,400
78,Supplier Directory,"LONGS DRUG STORES CALIFORNIA LLC, 800 W HARRIS ST, EUREKA, CA",7074438311,Pharmacy,40.78063,-124.17886,4,12,800
79,Supplier Directory,"HY-VEE INC, 409 S LOCUST STREET, GLENWOOD, IA",7125274006,Pharmacy,41.04262,-95.74446,4,12,200
80,Supplier Directory,"GEORGIA CVS PHARMACY, L.L.C., 809 OAK ST, EATONTON, GA",7064855832,Pharmacy,33.30493,-83.38517,4,12,200
81,Supplier Directory,"LOUISIANA CVS PHARMACY LLC, 16804 W MAIN ST, CUT OFF, LA",9856326774,Pharmacy,29.47303,-90.31574,5,12,200
82,Supplier Directory,"HOLIDAY CVS LLC, 11 E MERRITT ISLAND CSWY, MERRITT ISLAND, FL",3214532540,Pharmacy,28.35684,-80.69845,5,12,200
83,Supplier Directory,"IRB MEDICAL EQUIPMENT LLC, 1204 W WOOSTER ST, BOWLING GREEN, OH",4193527021,MSC With Respiratory Therapist,41.37242,-83.6718,5,12,1000
84,Supplier Directory,"MARYLAND CVS PHARMACY LLC., 975 BAY RIDGE RD, ANNAPOLIS, MD",4102687688,Pharmacy,38.94772,-76.49041,4,12,1000
85,Supplier Directory,"WALGREEN CO, 1107 E DIXIE DR, ASHEBORO, NC",3366297034,Pharmacy,35.69445,-79.79436,1,12,1000
86,Supplier Directory,"INGLES MARKETS INC, 100 OLD ORCHARD SQ, ELLIJAY, GA",7066357176,Pharmacy|Grocery Store,34.67582,-84.47832,5,12,200
87,Supplier Directory,"HSHS MEDICAL GROUP INC, 1745 W WALNUT ST, JACKSONVILLE, IL",8005326279,Orthotic Personnel,39.74519,-90.26214,5,12,600
88,Supplier Directory,"CRANIAL TECHNOLOGIES, INC., 10750 COLUMBIA PIKE, SILVER SPRING, MD",3016813549,Medical Supply Company Other,39.0343,-77.00428,5,12,200
89,Supplier Directory,"WALGREEN CO, 1301 E DOWNING ST, TAHLEQUAH, OK",9184562233,Pharmacy,35.91527,-94.95088,2,12,1000
90,Supplier Directory,"NORTH VALLEY PHARMACY AND MEDICAL SUPPLIES INC, 11541 LAUREL CANYON BLVD, SAN FERNANDO, CA",8183655300,Certified Other|Pharmacy,34.27961,-118.45442,5,12,600
91,Supplier Directory,"CANCER SERVICES OF GRANT COUNTY INC., 305 S NORTON ST, MARION, IN",7656646815,Medical Supply Company Other,40.5581,-85.68734,4,12,200
92,Supplier Directory,"UTAH CVS PHARMACY LLC, 815 W 2000 N, LAYTON, UT",8017736478,Pharmacy,41.0891,-111.98187,3,12,400
93,Supplier Directory,"WALMART INC, 10470 TWIN CITIES ROAD, GALT, CA",2097441965,Pharmacy,38.29102,-121.30364,3,12,400
94,Supplier Directory,"WALGREEN CO, 6985 S FLORIDA AVE, LAKELAND, FL",8636471961,Pharmacy,27.94363,-81.97345,5,12,400
95,Supplier Directory,"KROGER LIMITED PARTNERSHIP I, 5450 BIG TYLER RD, CROSS LANES, WV",3047765178,Pharmacy|Grocery Store,38.42624,-81.78539,5,12,600
96,Supplier Directory,"LONGS DRUG STORES CALIFORNIA LLC, 7096 N WEST AVE, FRESNO, CA",5594360471,Pharmacy,36.8374,-119.82622,5,12,600
97,Supplier Directory,"WAL-MART STORES EAST LP, 3450 VALLEY PLAZA PKWY, FT MITCHELL, KY",8593413714,Pharmacy|Optician,39.03391,-84.53546,5,12,400
98,Supplier Directory,"DILLON COMPANIES LLC, 1051 HIGHWAY 133, CARBONDALE, CO",9709635727,Pharmacy|Grocery Store,39.40355,-107.22089,5,12,600
99,Supplier Directory,"WAL-MART STORES EAST LP, 3735 PALOMAR CENTRE DR, LEXINGTON, KY",8592240495,Pharmacy,38.00349,-84.57113,3,12,800
100,Supplier Directory,"VIRGINIA CVS PHARMACY LLC, 801 EAST MAIN STREET, ABINGDON, VA",2766288119,Pharmacy,36.71601,-81.94362,5,12,800
101,Supplier Directory,"LINCARE INC, 268 S HIGHWAY 55, PRICE, UT",4356373511,Medical Supply Company Other,39.5963,-110.79194,5,12,600
102,Supplier Directory,"SAFEWAY INC, 451 E WONDER VIEW AVE, ESTES PARK, CO",9705778226,Pharmacy|Grocery Store,40.3795,-105.5174,2,12,600
103,Supplier Directory,"PRO-SPECS INC., 3000 C G ZINN RD, THORNDALE, PA",6103801621,Optician,39.99466,-75.76469,5,12,600
104,Supplier Directory,"WAL-MART STORES EAST LP, 45 WILLIAMSON RD, GREENVILLE, PA",7245890227,Pharmacy|Optician,41.41377,-80.35926,1,12,600
105,Supplier Directory,"SG HOMECARE,INC., 710 FIERO LN, SAN LUIS OBISPO, CA",9497472050,Medical Supply Company Other,35.24428401,-120.644359,5,12,400
106,Supplier Directory,"BOSTON OCULAR PROSTHETICS INC, 133 MORTLAND RD, SEARSPORT, ME",8008242492,Medical Supply Company Other|Prosthetic Personnel,44.47705,-68.92355,5,12,200
107,Supplier Directory,"PANHANDLE VISION CENTER - DUMAS PC, 224 E 7TH ST, DUMAS, TX",8069357773,Optometrist,35.85899712,-101.9708041,1,12,1000
108,Supplier Directory,"CVS PHARMACY INC, 21836 MARKET PLACE DR, NEW CANEY, TX",8324326086,Pharmacy,30.137,-95.2272,2,12,1000
109,Supplier Directory,"ANDREA N STEELE-BAUMANN OD LLC, 436 LINCOLN AVE, HEBRON, NE",4027686651,Optometrist,40.16669,-97.58962,5,12,600
110,Supplier Directory,"WALGREEN CO, 448 APPALACHIAN HWY, PINEVILLE, WV",3047328886,Pharmacy,37.62861,-81.50863,5,12,400
111,Supplier Directory,"TENNESSEE CVS PHARMACY LLC, 9435S NORTHSHORE DR, KNOXVILLE, TN",8657692180,Pharmacy,35.863,-84.06514,5,12,200
112,Supplier Directory,"MARTIN DRUGS OF RIVERHEAD,INC, 849 OLD COUNTRY RD, RIVERHEAD, NY",6317270550,Pharmacy,40.93232,-72.67566,3,12,200
113,Supplier Directory,"WAL-MART STORES EAST LP, 705 MIDDLETOWN WARWICK RD, MIDDLETOWN, DE",3024490597,Pharmacy,39.44124,-75.74547,3,12,800
114,Supplier Directory,"HORIZON EYE CARE PA, 3003 ENGLISH CREEK AVE, EGG HARBOR TOWNSHIP, NJ",6095699949,Optometrist,39.43335,-74.61331,4,12,1000
115,Supplier Directory,"ARCTIC MEDICAL CENTER, 288 W 34TH AVENUE, ANCHORAGE, AK",9072908111,Medical Supply Company Other,61.18942,-149.88576,5,12,1000
116,Supplier Directory,"GEORGIA CVS PHARMACY, L.L.C., 920 E ROBERT TOOMBS AVE, WASHINGTON, GA",7066781567,Pharmacy,33.72847,-82.71836,2,12,200
117,Supplier Directory,"ADVANCED BIOMECHANICS INC, 215 N FIREWEED ST, SOLDOTNA, AK",9072621515,Orthotic Personnel|Prosthetic Personnel,60.49175,-151.08024,2,12,200
118,Supplier Directory,"PUBLIX SUPER MARKETS INC, 8244 NAVARRE PKWY, NAVARRE, FL",8505150990,Pharmacy,30.40173,-86.88491,2,12,200
119,Supplier Directory,"ROESCHEN'S HEALTHCARE LLC, 2815 COUNTY HIGHWAY I, CHIPPEWA FALLS, WI",7157260834,Pharmacy,44.95172,-91.35658,5,12,600
120,Supplier Directory,"APRIA HEALTHCARE LLC, 6680 LOCKHEED DR, REDDING, CA",5302210202,Medical Supply Company Other,40.50886,-122.30305,4,12,400
121,Supplier Directory,"HOOK-SUPERX LLC, 900 E BRISTOL ST, ELKHART, IN",5742646562,Pharmacy,41.70268,-85.96562,3,12,200
122,Supplier Directory,"WALGREEN CO, 345 14TH ST, WEST POINT, VA",8048432880,Pharmacy,37.53676,-76.79985,2,12,400
123,Supplier Directory,"WAL-MART STORES TEXAS, LLC, 4006 ESTES PKWY, LONGVIEW, TX",9032342083,Pharmacy,32.43627,-94.71594,4,12,400
124,Supplier Directory,"INTERDEPENDENT PHARMACY LLC, 404 N SEYMOUR AVE, MUNDELEIN, IL",2244750020,Pharmacy,42.27065,-88.00268,5,12,600
125,Supplier Directory,"WALGREEN CO, 1102 N MAIN ST, MARION, VA",2767817811,Pharmacy,36.84424,-81.5012,2,12,1000
126,Supplier Directory,"MEIJER STORES LIMITED PARTNERSHIP, 1380 SUNBURY RD, DELAWARE, OH",7403685910,Pharmacy|Department Store|Grocery Store,40.29023411,-83.03177818,4,12,800
127,Supplier Directory,"AUBURN PHARMACY INC, 429 N MAPLE ST, GARNETT, KS",7854486122,Pharmacy,38.28868,-95.24912,5,12,200
128,Supplier Directory,"HOLIDAY CVS LLC, 2515 SHADOWLAWN DR, NAPLES, FL",2397930232,Pharmacy,26.13037,-81.7705,5,12,400
129,Supplier Directory,"NORTHWEST EYECARE PC, 1000 KIWANIS DR, FREEPORT, IL",8152356177,Optometrist,42.28882,-89.6709,2,12,600
130,Supplier Directory,"HOPE HOME MEDICAL SUPPLIES, 108 NW 10TH ST, STIGLER, OK",9189672800,Medical Supply Company Other|MSC With Respiratory Therapist|Orthotic Personnel,35.31054,-95.08233,4,12,200
131,Supplier Directory,"WAL-MART STORES EAST LP, 401 ONTARIO AVE, BOGALUSA, LA",9857327677,Pharmacy,30.79168,-89.86642,5,12,600
132,Supplier Directory,"CANNON DRUG CO, 342 E PARKER RD, MORGANTON, NC",8284335120,Pharmacy,35.7286,-81.65667,5,12,800
133,Supplier Directory,"SAMS WEST INC, 925 EGLIN ST, RAPID CITY, SD",6058773103,Pharmacy|Optician,44.1023,-103.19299,5,12,200
134,Supplier Directory,"JGS HEALTH SERVICES LLC, 131 S MAIN ST, MINNEOLA, KS",6208854544,Pharmacy,37.44261,-100.01393,4,12,400
135,Supplier Directory,"WAL-MART STORES TEXAS, LLC, 1705 EXPRESSWAY 83, PENITAS, TX",9565801511,Pharmacy,26.2938,-98.44595,4,12,200
136,Supplier Directory,"CERTIFIED RESPIRATORY SERVICES,INC., 429 S MAIN ST, BAXLEY, GA",9123669226,MSC With Respiratory Therapist,31.77196,-82.35107,2,12,400
137,Supplier Directory,"GENTLE CARE, INC., 805 AVE ITURREGUI URB COUNTRY CLUB, SAN JUAN, PR",7877626362,Medical Supply Company Other|Orthotic Personnel,18.40097,-66.01214,5,12,400
138,Supplier Directory,"ST MARYS REGIONAL HEALTH CENTER, 1027 WASHINGTON AVE, DETROIT LAKES, MN",2188440684,Optometrist,46.81474,-95.84534,3,12,1000
139,Supplier Directory,"HARRIS TEETER LLC, 4701 SMITH FARM RD, CHARLOTTE, NC",7043950572,Pharmacy|Grocery Store,35.2949,-80.89558,5,12,400
140,Supplier Directory,"EYE CENTERS OF TENNESSEE, LLC, 802 W MAIN ST, LIVINGSTON, TN",9314005154,Optometrist|Optician,36.37929,-85.33224,5,12,400
141,Supplier Directory,"HEART OF AMERICA CLINIC PHARMACY INC, 2975 HIGHWAY 2 E, RUGBY, ND",7017762531,Pharmacy,48.36261,-99.99624,5,12,600
142,Supplier Directory,"WALGREEN CO, 8230 CAZENOVIA RD, MANLIUS, NY",3156829153,Pharmacy,42.99325,-75.95892,4,12,600
143,Supplier Directory,"MENDOCINO OPTICAL CO INC, 280 S SCHOOL ST, UKIAH, CA",7074622744,Optician,39.14887,-123.20845,1,12,600
144,Supplier Directory,"GARFIELD BEACH CVS LLC, 3600 GEARY BLVD, SAN FRANCISCO, CA",4156686083,Pharmacy,37.78145,-122.45834,5,12,800
145,Supplier Directory,"DISCOUNT DRUG MART INC, 84 WHITTLESEY AVE, NORWALK, OH",4196683024,Medical Supply Company Other|Orthotic Personnel|Pharmacy,41.25812,-82.61257,5,12,200
146,Supplier Directory,"S & S DRUGS INC, 113 S MILL ST, BELOIT, KS",7857382287,Medical Supply Company Other,39.45865,-98.11026,1,12,1000
147,Supplier Directory,"SUPER AID PHARMACY LLC, 247 OLD VIRGINIA AVE, RICH CREEK, VA",5407262993,Pharmacy,37.38292,-80.82271,2,12,800
148,Supplier Directory,"WALGREEN CO, 3027 US HIGHWAY 27 S, SEBRING, FL",8633859929,Pharmacy,27.4959,-81.44685,4,12,400
149,Supplier Directory,"HOOK-SUPERX LLC, 2 S BROADWAY, PERU, IN",7654724367,Pharmacy,40.75307,-86.06872,4,12,200
150,Supplier Directory,"WAL-MART STORES EAST LP, 665 BOSTON POST RD, OLD SAYBROOK, CT",8603880560,Pharmacy,41.29624,-72.37842,3,12,200
151,Supplier Directory,"HENDRICK SOUTHWESTERN HEALTH DEVELOPMENT CORPORATION, 2371 CROCKETT DRIVE, SUITE 101, BROWNWOOD, TX",3252035130,MSC With Respiratory Therapist|Orthotic Personnel,31.68383,-98.99728,4,12,1000
152,Supplier Directory,"INGLES MARKETS INC, 5580 US HIGHWAY 25/70, MARSHALL, NC",8286491636,Pharmacy|Grocery Store,35.8103,-82.753,4,12,800
153,Supplier Directory,"NEBRASKA CVS PHARMACY LLC, 8201 S 40TH ST, LINCOLN, NE",4024203541,Pharmacy,40.72874,-96.66356,5,12,600
154,Supplier Directory,"VISIONWORKS INC, 6501 S FRY RD, KATY, TX",2813924040,Optician,29.71333,-95.7704,5,12,400
155,Supplier Directory,"WAL-MART STORES EAST LP, 2985 E ELIZABETHTOWN RD, LUMBERTON, NC",9108876108,Pharmacy,34.63537,-78.98311,4,12,800
156,Supplier Directory,"WALGREEN CO, 1100 N HIGHWAY 81, DUNCAN, OK",5802522375,Pharmacy,34.5311,-97.96669,5,12,400
157,Supplier Directory,"UNION CITY EYE CARE PC, 1022 S MILES AVE, UNION CITY, TN",7318851049,Optometrist,36.41704,-89.04077,3,12,400
158,Supplier Directory,"WOODWARD DETROIT CVS LLC, 3250 US HIGHWAY 41 W, MARQUETTE, MI",9062260095,Pharmacy,46.51718,-87.45015,3,12,800
159,Supplier Directory,"WAL-MART STORES EAST LP, 200 KOCHER LN, ELIZABETHVILLE, PA",7173624379,Pharmacy|Optician,40.55347,-76.79039,3,12,1000
160,Supplier Directory,"TENNESSEE CVS PHARMACY LLC, 903 MEMORIAL BLVD, SPRINGFIELD, TN",6153848481,Pharmacy,36.50475,-86.88137,4,12,800
161,Supplier Directory,"WALGREEN CO, 5148 HIGHWAY 51 N, SENATOBIA, MS",6625629366,Pharmacy,34.63277,-89.96998,2,12,200
162,Supplier Directory,"AMAN PHARMACY INC, 99-1 RT 25A, SHOREHAM, NY",6318210707,Pharmacy,40.94699662,-72.89469492,5,12,600
163,Supplier Directory,"THRIFT DRUG INC, 354 STATE ROUTE 57 W, WASHINGTON, NJ",9086898561,Pharmacy,40.75414,-74.99895,2,12,1000
