Provider ID,Provider Name & Address,Type,Rating,Cost,Contact Number
3058,"STEVENS COMMUNITY MEDICAL CENTER INC, 400 E 1ST ST, MORRIS, MN",Optometrist,1,2000,3205897653.0
3059,"LINCARE INC, 2213 E MAIN ST, ALBERT LEA, MN",Medical Supply Company Other,3,5000,5073775044.0
3060,"NAI SATURN EASTERN LLC, 5980 KINGSTOWNE TOWNE CTR, ALEXANDRIA, VA",Pharmacy|Grocery Store,1,4000,7039213127.0
3061,"HARMON CITY INC, 4874 W 6200 S, KEARNS, UT",Pharmacy,3,3000,8019637200.0
3062,"WAL-MART STORES EAST LP, 3111 BROWNS MILL RD, JOHNSON CITY, TN",Pharmacy|Optician,5,4000,4232829484.0
3063,"WECARE MEDICAL LLC, 70 PINE ST, GALLIPOLIS, OH",MSC With Respiratory Therapist,1,5000,7402082000.0
3064,"LONGS DRUG STORES CALIFORNIA LLC, 1871 EL CAMINO REAL, BURLINGAME, CA",Pharmacy,2,4000,6506925065.0
3065,"WAL-MART STORES EAST LP, 100 ELMRIDGE CENTER DR, GREECE, NY",Pharmacy|Optician,4,2000,5852271210.0
3066,"CVS ALBANY LLC, 1064 WILMOT RD, SCARSDALE, NY",Pharmacy,5,5000,9147222011.0
3067,"JERICHO CHEMISTS INC, 24725 JAMAICA AVENUE, BELLEROSE, NY",Pharmacy,3,5000,5168823777.0
3068,"BRIGHTON EYE ASSOCIATES PC, 1001 E BRIDGE ST, BRIGHTON, CO",Optometrist,2,3000,3036593036.0
3069,"VIRGINIA CVS PHARMACY LLC, 21550 TIMBERLAKE ROAD, LYNCHBURG, VA",Pharmacy,2,5000,4342390311.0
3070,"PUBLIX SUPER MARKETS INC, 10400 SW VILLAGE CENTER DR, PORT SAINT LUCIE, FL",Pharmacy,1,2000,7723459911.0
3071,"WALGREEN CO, 2103 ELDRIDGE RD, SUGAR LAND, TX",Pharmacy,4,3000,2812400040.0
3072,"WALGREEN CO, 1065 TRUMAN HWY, BOSTON, MA",Pharmacy,4,4000,6173611811.0
3073,"CONDADO SALES AND RENTAL INC, 186 CALLE JUAN P DUARTE, HATO REY, PR",Medical Supply Company Other,4,3000,7877582325.0
3074,"MONITOR MEDICAL, INC., 12999 JESS PIRTLE BLVD, SUGAR LAND, TX",MSC With Respiratory Therapist,4,2000,2812407222.0
3075,"NEW JERSEY CVS PHARMACY LLC, 890 BENNETTS MILLS RD, JACKSON, NJ",Pharmacy,4,5000,7323677530.0
3076,"OHIO CVS STORES LLC, 7412 STATE RD, PARMA, OH",Pharmacy,2,2000,4408878038.0
3077,"WALGREEN CO, 3009 W MARKET ST, FAIRLAWN, OH",Pharmacy,1,5000,3308671946.0
3078,"DESNA PHARMACY INC, 307 S MILWAUKEE AVE, WHEELING, IL",Pharmacy,1,3000,8472295477.0
3079,"ABILITIES IN MOTION LLC, 11151 KENWOOD RD, BLUE ASH, OH",Orthotic Personnel|Prosthetic Personnel,5,3000,5132450253.0
3080,"URS SUB I, LLC, 4830 LAKEWOOD DR, WACO, TX",Medical Supply Company Other,2,4000,2547511556.0
3081,"HOOK-SUPERX LLC, 310 N HALLECK ST, DEMOTTE, IN",Pharmacy,3,4000,2199873301.0
3082,"HANGER PROSTHETICS & ORTHOTICS WEST INC, 3602 INLAND EMPIRE BLVD, ONTARIO, CA",Orthotic Personnel|Prosthetic Personnel,2,4000,9094845700.0
3083,"FUTURE PHARMACY INC, 2480 65TH ST, BROOKLYN, NY",Certified Other|Orthotic Personnel|Prosthetic Personnel|Pharmacy,3,5000,7183766563.0
3084,"WALGREEN CO, 8400 ELK GROVE FLORIN RD, ELK GROVE, CA",Pharmacy,5,2000,9165253563.0
3085,"JATALA INC, 191 MAIN ST, LITTLE FERRY, NJ",Pharmacy,5,4000,2016417200.0
3086,"WALGREEN CO, 8333 N DAVIS HWY STE 50, PENSACOLA, FL",Pharmacy,2,5000,8504942432.0
3087,"EASTRIDGE-PHELPS PHARMACY LLC, 460 COMMERCE DR, GREENSBURG, KY",Pharmacy,2,4000,2702992333.0
3088,"WILSON PHARMACY INC, 400 N STATE OF FRANKLIN RD, JOHNSON CITY, TN",Pharmacy,2,4000,4234312140.0
3089,"TENNESSEE CVS PHARMACY LLC, 1900 TOWN CENTER BLVD, KNOXVILLE, TN",Pharmacy,4,3000,8652915479.0
3090,"LINCARE INC, 1101 W 32ND ST, MARION, IN",Medical Supply Company Other,3,2000,7656645195.0
3091,"WALGREEN EASTERN CO INC, 324 MASSACHUSETTS AVE, ARLINGTON, MA",Pharmacy,2,2000,7816434112.0
3092,"SCOTT-LARSON LLC, 1837 E KIRKWOOD ST, SPRINGFIELD, MO",Orthotic Personnel|Prosthetic Personnel,1,4000,4177557430.0
3093,"PUBLIX SUPER MARKETS INC, 3720 NW 13TH ST, GAINESVILLE, FL",Pharmacy,4,3000,3523352363.0
3094,"THE KROGER CO, 3700 SALEM RD, COVINGTON, GA",Pharmacy|Grocery Store,1,4000,6783426050.0
3095,"WASHINGTON CVS PHARMACY LLC, 665 SLEATER KINNEY RD SE, LACEY, WA",Pharmacy,1,5000,3604868927.0
3096,"PHARMACY4HUMANITY, 18421 S MAIN ST, GARDENA, CA",Pharmacy,2,4000,3103746284.0
3097,"CUSTOM OPTICAL OF FONDREN LLC, 661 DULING AVE, JACKSON, MS",Optician,2,3000,6013626675.0
3098,"WALGREEN CO, 100 W ONTARIO AVE, CORONA, CA",Pharmacy,4,2000,9515829551.0
3099,"AVE J ROYAL CARE PHARMACY LLC, 1315 AVENUE J, BROOKLYN, NY",Pharmacy,3,2000,7182531030.0
3100,"WALGREEN CO, 1040 DELAWARE AVE STE A, MARION, OH",Pharmacy,2,2000,7403834529.0
3101,"WALMART INC, 3396 STOCKTON HILL RD, KINGMAN, AZ",Pharmacy|Optician,4,3000,9286920444.0
3102,"BODENHAMER EYE CONSULTANTS, LLC, 3238 W TRUMAN BLVD, JEFFERSON CITY, MO",Optometrist,4,3000,5736352020.0
3103,"PUBLIX SUPER MARKETS INC, 205 RIVERTOWN SHOPS DR, SAINT JOHNS, FL",Pharmacy,4,5000,9042979334.0
3104,"INTEGRIS PROHEALTH INC, 1205 HEALTH CENTER PKWY, YUKON, OK",Pharmacy,5,5000,4057175330.0
3105,"WALGREEN CO, 2100 SHERIDAN RD, ZION, IL",Pharmacy,3,2000,8478723228.0
3106,"WALGREEN CO, 50 EAST STATE ST, TRENTON, NJ",Pharmacy,3,5000,6095032110.0
3107,"HENRY FORD HEALTH SYSTEM, 7800 W OUTER DR, DETROIT, MI",Pharmacy,4,4000,3135436300.0
3108,"LEWIS DRUGS, INC., 2901 S MINNESOTA AVE, SIOUX FALLS, SD",Pharmacy,3,4000,6053672110.0
3109,"GRAND ST PAUL CVS LLC, 300 CLYDESDALE TRL, MEDINA, MN",Pharmacy,4,4000,7638520007.0
3110,"SR PHARMACY INC, 4329 BROADWAY, NEW YORK, NY",Pharmacy,1,4000,2127408500.0
3111,"DISCOUNT DRUG MART INC, 2253 COLORADO AVE, LORAIN, OH",Pharmacy,1,4000,4402880191.0
3112,"FNL MEDICAL SUPPLY LLC., 497 NEW BRUNSWICK AVE, FORDS, NJ",Medical Supply Company Other|MSC With Orthotic-Prosthetic,5,4000,7327103090.0
3113,"PUBLIX SUPER MARKETS INC, 10115 UNIVERSITY BLVD, ORLANDO, FL",Pharmacy,4,4000,4075515195.0
3114,"SOUTH CAROLINA CVS PHARMACY LLC, 1006 FORDING ISLAND RD, BLUFFTON, SC",Pharmacy,2,4000,8438152801.0
3115,"WALGREEN CO, 5230 N MILWAUKEE AVE, CHICAGO, IL",Pharmacy,2,3000,7737368920.0
3116,"NATIONAL SEATING & MOBILITY INC, 1985 16TH ST NE, SALEM, OR",Medical Supply Company Other,2,3000,9713745210.0
3117,"SCOTT & WHITE MEMORIAL HOSPITAL, 5701 AIRPORT RD, TEMPLE, TX",Pharmacy,2,3000,2542159523.0
3118,"WALGREEN CO, 5301 W LOVERS LN, DALLAS, TX",Pharmacy,3,2000,2144163405.0
3119,"WAL-MART STORES EAST LP, 8808 BEACH BLVD, JACKSONVILLE, FL",Pharmacy|Optician,2,2000,9046464633.0
3120,"SAMS EAST INC, 3833 N GLOSTER ST, TUPELO, MS",Pharmacy,4,3000,6628407601.0
3121,"SAFEWAY INC, 23565 N SCOTTSDALE RD, SCOTTSDALE, AZ",Pharmacy|Grocery Store,3,2000,4805859650.0
3122,"WALMART INC, 2875 W MARTIN LUTHER KING BLVD, FAYETTEVILLE, AR",Pharmacy|Optician,1,3000,4795214350.0
3123,"HY-VEE INC, 1500 CENTRAL PARK COMMONS DR, EAGAN, MN",Pharmacy,1,3000,6514053662.0
3124,"SOLEO HEALTH INC, 2866 DAUPHIN ST, MOBILE, AL",Pharmacy,3,5000,2512346074.0
3125,"WALGREEN CO, 2700 W FLAGLER ST, MIAMI, FL",Pharmacy,3,2000,3056441994.0
3126,"WALGREEN CO, 3634 REYNOLDA RD, WINSTON SALEM, NC",Pharmacy,4,5000,3369232367.0
3127,"KCI USA INC, 6135 W CORPORAL LN, BOISE, ID",Medical Supply Company Other,5,2000,2083755636.0
3128,"DRS LOGAN & BAILEY OPTOMETRISTS INC, 2517 E MAIN ST, RICHMOND, IN",Optometrist,1,3000,7659662661.0
3129,"R A CALDWELL CO INC, 474 W MAIN ST, STAMFORD, CT",Medical Supply Company Other,4,3000,2033480174.0
3130,"LUXOTTICA OF AMERICA INC, 120 VINTAGE WAY, NOVATO, CA",Optician,3,5000,4155070800.0
3131,"WALGREEN CO, 4351 W SAMPLE RD, COCONUT CREEK, FL",Pharmacy,5,5000,9549784979.0
3132,"LUXOTTICA OF AMERICA INC, 6600 MENAUL BLVD NE, ALBUQUERQUE, NM",Optician,2,2000,5058893465.0
3133,"PUBLIX SUPER MARKETS INC, 55 N INDIANA AVE, ENGLEWOOD, FL",Pharmacy,3,5000,9414733301.0
3134,"ARDY MEDICAL SUPPLY CORP, 9786 SW 24TH ST, MIAMI, FL",MSC With Orthotic-Prosthetic,4,5000,3055516071.0
3135,"LISTON PROSTHETICS, LLC, 5292 S COLLEGE DR, MURRAY, UT",Prosthetic Personnel,3,2000,3854253960.0
3136,"HALL FAMILY EYECARE LLC, 2107 S SENECA ST, WICHITA, KS",Optometrist,3,5000,3162647300.0
3137,"NEW JERSEY CVS PHARMACY LLC, 675 WOODBURY GLASSBORO RD, SEWELL, NJ",Pharmacy,2,4000,8564152380.0
3138,"WAL-MART STORES EAST LP, 1001 E MAIN ST, YUKON, OK",Pharmacy,2,5000,4055770051.0
3139,"CHARLES H. NEU, 295 NEW DORP LN, STATEN ISLAND, NY",Optometrist,5,2000,7183513006.0
3140,"EMPIRE PROFESSIONAL PHARMACY INC, 200 HOSPITAL DR, GLEN BURNIE, MD",MSC With Orthotic Personnel|Pharmacy,2,5000,4107870030.0
3141,"BOYT PHARMACEUTICAL SERVICES,LLC., 411 MAIN ST, METUCHEN, NJ",Pharmacy,1,5000,7325482125.0
3142,"RISER FOODS COMPANY, 14100 DETROIT AVE, LAKEWOOD, OH",Pharmacy,3,4000,2162261600.0
3143,"HOLIDAY CVS LLC, 975 TAMPA RD, PALM HARBOR, FL",Pharmacy,4,3000,7277728119.0
3144,"SAMS EAST INC, 579 TROY SCHENECTADY RD, LATHAM, NY",Pharmacy,4,3000,5187632007.0
3145,"SAMS EAST INC, 69630 STIRLING BLVD, COVINGTON, LA",Pharmacy|Optician,4,4000,9853276261.0
3146,"LINCARE INC, 10 UPTON DR, WILMINGTON, MA",Medical Supply Company Other,1,4000,8662071187.0
3147,"SAFEWAY MEDICAL CORPORATION, 1212 WESTHEIMER RD, HOUSTON, TX",Medical Supply Company Other|MSC With Respiratory Therapist|Orthotic Personnel,4,2000,8328688609.0
3148,"BEACON RESPIRATORY SERVICES, INC., 4562 MCASHTON ST, SARASOTA, FL",Medical Supply Company Other,5,2000,9419268090.0
3149,"HANGER PROSTHETICS & ORTHOTICS EAST INC, 26 JOURNAL SQUARE PLZ, JERSEY CITY, NJ",Orthotic Personnel|Prosthetic Personnel,3,4000,9737360628.0
3150,"CAPSTONE MEDICAL LLC, 9501 LAKEWOOD DR SW, LAKEWOOD, WA",Medical Supply Company Other,2,4000,8005747992.0
3151,"WEST WICHITA FAMILY OPTOMETRISTS, 1202 W MAPLE ST, WICHITA, KS",Optometrist,1,3000,3162623716.0
3152,"WAL-MART STORES EAST LP, 3101 ROSWELL RD, MARIETTA, GA",Pharmacy,1,3000,6786954961.0
3153,"PULMOCARE RESPIRATORY SERVICES INC, 760 VIA LATA AVE, COLTON, CA",MSC With Respiratory Therapist,4,4000,9097775000.0
3154,"BRIAN E WEBER OD LLC, 21 E WARD ST, SPRINGFIELD, OH",Optometrist,1,2000,9373255045.0
3155,"JAMES M GREER DPM, 350 JOHN MUIR PKWY, BRENTWOOD, CA",Orthotic Personnel,3,4000,9255161551.0
3156,"MARK B. BYERS O.D., 429 D ST, MARYSVILLE, CA",Optometrist,2,4000,5307421679.0
3157,"MOUNT SINAI MEDICAL CENTER OF FLORIDA, INC, 4302 ALTON RD, MIAMI BEACH, FL",Pharmacy,3,2000,3056742518.0
3158,"STRONG OPTICAL SHOP, 601 ELMWOOD AVE, ROCHESTER, NY",Optician,1,5000,5852733937.0
3159,"GARFIELD BEACH CVS LLC, 26550 BOUQUET CANYON RD, SAUGUS, CA",Pharmacy,1,4000,6612971968.0
3160,"MCCAULLEY OPTOMETRIC PA, 2601 10TH ST, GREAT BEND, KS",Optometrist,1,2000,6207922020.0
3161,"MISSOURI CVS PHARMACY LLC, 501 W MOUNT VERNON ST, NIXA, MO",Pharmacy,1,5000,4177248409.0
3162,"JG OPTICAL INC, 108 BROUGHTON AVE, BLOOMFIELD, NJ",Optician,2,3000,9737431353.0
3163,"PENNSYLVANIA CVS PHARMACY LLC, 1535 W 26TH STREET, ERIE, PA",Pharmacy,5,5000,8144611215.0
3164,"CVS PHARMACY INC, 10515 FRY RD, CYPRESS, TX",Pharmacy,1,2000,2812568779.0
3165,"EYE HEALTH ASSOCIATES INC, 51 STATE RD, DARTMOUTH, MA",Optometrist|Optician,3,5000,5089941400.0
3166,"IHC HEALTH SERVICES INC, 289W 1230 N, PROVO, UT",Medical Supply Company Other|MSC With Respiratory Therapist,1,3000,8013578250.0
3167,"WAL-MART STORES EAST LP, 770 BROADWAY, SAGUS, MA",Pharmacy,4,5000,4792772500.0
3168,"NORTH CAROLINA CVS PHARMACY LLC, 14600 LAWYERS RD, MATTHEWS, NC",Pharmacy,1,2000,7048822743.0
3169,"NAI SATURN EASTERN LLC, 1313 LONDONTOWN BLVD, ELDERSBURG, MD",Pharmacy|Grocery Store,4,4000,4105521015.0
3170,"VIRGINIA CVS PHARMACY LLC, 4126 PLANTATION RD NE, ROANOKE, VA",Pharmacy,2,4000,5405634968.0
3171,"MEDEQUIPPED LLC, 747 CHESTNUT RIDGE RD, SPRING VALLEY, NY",Medical Supply Company Other,3,3000,8453776670.0
3172,"WALGREEN CO, 7227 S STATE ST, MIDVALE, UT",Pharmacy,5,2000,8013070494.0
3173,"MEIJER STORES LIMITED PARTNERSHIP, 247 TALLMADGE RD, KENT, OH",Pharmacy|Department Store|Grocery Store,3,4000,3309775610.0
3174,"VIRGINIA CVS PHARMACY LLC, 8185 ATLEE RD, MECHANICSVLLE, VA",Pharmacy,3,3000,8045591303.0
3175,"PUBLIX SUPER MARKETS INC, 939 W BRANDON BLVD, BRANDON, FL",Pharmacy,1,5000,8636881188.0
3176,"PRICE CHOPPER OPERATING CO NEW HAMPSHIRE INC, 285 PLAINFIELD RD, WEST LEBANON, NH",Pharmacy,1,4000,6032989680.0
3177,"PA MEDICAL SUPPLY INC, 360 QUAKER RD, QUEENSBURY, NY",Medical Supply Company Other|MSC With Orthotic-Prosthetic,3,4000,5187450995.0
3178,"EXCELLENCE IN MEDICINE INC, 2960 CORTEZ AVE, IDAHO FALLS, ID",Medical Supply Company Other,2,4000,2087159997.0
3179,"NORTH CAROLINA CVS PHARMACY LLC, 305 CAROLINA GREEN PKWY, SOUTHERN PINES, NC",Pharmacy,3,5000,9109925020.0
3180,"TENNESSEE CVS PHARMACY LLC, 3171 LEBANON PIKE, NASHVILLE, TN",Pharmacy,2,4000,6152389915.0
3181,"WAL-MART STORES EAST LP, 326 W MAIN ST, FREEHOLD, NJ",Pharmacy|Optician,4,3000,7327803484.0
3182,"WALGREEN CO, 1453 E 151ST ST, OLATHE, KS",Pharmacy,2,2000,9135385019.0
3183,"PROTECH MEDICAL LLC, 35 EXECUTIVE PARK DR, HENDERSONVILLE, TN",Medical Supply Company Other,3,3000,8007227313.0
3184,"HANGER PROSTHETICS & ORTHOTICS EAST INC, 330 S 5TH ST, ENID, OK",Orthotic Personnel|Prosthetic Personnel,1,2000,5802377654.0
3185,"MOUNTAIN PEAK ASSOCIATES LLC, 4875 E EVANS AVE, DENVER, CO",Medical Supply Company Other,1,2000,3033767449.0
3186,"RITT MEDICAL GROUP INC, 8581 W KELTON LN, PEORIA, AZ",Medical Supply Company Other,4,4000,6239720497.0
3187,"CVS PHARMACY INC, 3200 N BIG SPRING ST, MIDLAND, TX",Pharmacy,1,5000,4017651500.0
3188,"VNA TECHNICARE, INC., 200 CORLISS ST, PROVIDENCE, RI",Medical Supply Company Other|MSC With Respiratory Therapist,5,4000,4013359000.0
3189,"SHORELINE OPTICAL, LLC, 1266 E SHERMAN BLVD, MUSKEGON, MI",Optometrist,4,5000,2317399009.0
3190,"FLORIDA HOSPITAL HOME INFUSION, LLP, 556 FLORIDA CENTRAL PARKWAY, LONGWOOD, FL",Pharmacy,5,2000,4078655489.0
3191,"BAY MEDICAL, LLC, 8285 HARRISON BLVD, CHESAPEAKE BEACH, MD",Medical Supply Company Other,3,4000,3018558199.0
3192,"SLEEPWELL LLC, 2121 NEWMARKET PKWY SE, MARIETTA, GA",MSC With Respiratory Therapist,3,2000,6786539681.0
3193,"CAREMARK, L.L.C., 11162 RENNER BLVD, LENEXA, KS",Pharmacy,5,4000,8003600520.0
3194,"SUPERVALU PHARMACIES INC, 615 W CENTRAL ENTRANCE, DULUTH, MN",Pharmacy|Grocery Store,4,2000,2187273010.0
3195,"WALGREEN CO, 1520 PIONEER RD, MESQUITE, TX",Pharmacy,4,2000,9722888287.0
3196,"RANDALLS FOOD & DRUGS LP, 5721 WILLIAMS DR, GEORGETOWN, TX",Pharmacy|Grocery Store,3,3000,5129426400.0
3197,"CVK CORPORATION, 3725 INGERSOLL AVE, DES MOINES, IA",Optician,1,5000,5150000000000.0
3198,"GEAUX 2 PEDIATRICS LLC, 181 COMMERCIAL SQUARE, SLIDELL, LA",Medical Supply Company Other,2,2000,9852018985.0
3199,"STAT-MED, INC., 23606 N 19TH AVE, PHOENIX, AZ",Medical Supply Company Other,5,3000,6234344895.0
3200,"MISSOURI CVS PHARMACY LLC, 8200 N LINDBERGH BLVD, FLORISSANT, MO",Pharmacy,3,2000,3149217345.0
3201,"GEORGIA HOME MEDICAL INC, 416 PINE AVE, ALBANY, GA",Medical Supply Company Other,1,5000,2298835600.0
3202,"GARRARD PHARMACISTS GROUP INC, 1113 W LEXINGTON AVE, WINCHESTER, KY",Pharmacy,2,4000,8597454445.0
3203,"GATEWOOD PROSTHETICS INC, 2515 OLD WHITTLESEY RD, COLUMBUS, GA",Orthotic Personnel|Prosthetic Personnel,1,5000,7065968004.0
3204,"NEW JERSEY CVS PHARMACY LLC, 77 RTE 206, STANHOPE, NJ",Pharmacy,3,5000,9734260466.0
3205,"SG HOMECARE,INC., 2341 CEPHEUS CT, BAKERSFIELD, CA",Medical Supply Company Other,5,2000,9494742050.0
3206,"LUXOTTICA OF AMERICA INC, 7474 TOWNE CTR PKWY, PAPILLION, NE",Optician,2,3000,4025923239.0
3207,"GIANT OF MARYLAND LLC, 200 ROSEWICK RD, LA PLATA, MD",Pharmacy,2,3000,3013925485.0
3208,"HOLIDAY CVS LLC, 5640 SUNSET DR, MIAMI, FL",Pharmacy,2,5000,3056661085.0
3209,"WALGREEN CO, AVENIDA LOMAS VERDES, GUAYNABO, PR",Pharmacy,3,2000,7872870528.0
3210,"CVS PHARMACY INC, 3401 TIDWELL RD, HOUSTON, TX",Pharmacy,1,2000,7136916571.0
3211,"BLUEGRASS VISION GROUP OF MOREHEAD PLLC, 322 KROGER CTR, MOREHEAD, KY",Optometrist,5,4000,6067272800.0
3212,"WALGREEN CO, 2020 S NAPERVILLE RD, WHEATON, IL",Pharmacy,2,5000,6306822582.0
3213,"WALMART INC, 4000 ROUTE 173, ZION, IL",Pharmacy|Optician,3,3000,8477318172.0
3214,"WALGREEN CO, 316 BROADWAY, KINGSTON, NY",Pharmacy,1,5000,8453380197.0
3215,"MARZEL'S INC., 1220 OAKLAND BLVD, WALNUT CREEK, CA",MSC With Prosthetic Personnel,3,2000,9259392450.0
3216,"PUMPS IT, INC., 10601 GRANT RD, HOUSTON, TX",Medical Supply Company Other,5,5000,8886707867.0
3217,"WALGREEN CO, 3580 ROUTE 66, NEPTUNE, NJ",Pharmacy,4,4000,7329226379.0
3218,"WALGREEN CO, 2720 W JACKSON ST, MUNCIE, IN",Pharmacy,1,3000,7652878533.0
3219,"PRICE CHOPPER INC, 121 FARMINGTON AVE, BRISTOL, CT",Pharmacy,4,3000,8605823702.0
3220,"HOLIDAY CVS LLC, 3501 DAVIE BLVD, FORT LAUDERDALE, FL",Pharmacy,3,4000,9545839195.0
3221,"APRIA HEALTHCARE LLC, 612 BEATTY RD, MONROEVILLE, PA",Medical Supply Company Other|MSC With Respiratory Therapist,2,3000,4123731603.0
3222,"HANGER PROSTHETICS & ORTHOTICS INC, 310 TAUGHANNOCK BLVD, ITHACA, NY",Orthotic Personnel|Prosthetic Personnel,1,4000,6072776620.0
3223,"H-E-B LP, 10200 HIGHWAY 242, CONROE, TX",Pharmacy,3,2000,9365251200.0
3224,"ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS, 1821 S WEBSTER AVE, GREEN BAY, WI",Optometrist,5,5000,9204964700.0
3225,"180 MEDICAL INC, 7869 SW NIMBUS AVENUE, BEAVERTON, OR",Medical Supply Company Other,4,2000,8776882729.0
3226,"EMPIRE VISION CENTER INC., 9141 QUEENS BLVD, ELMHURST, NY",Optician,1,2000,7184582631.0
3227,"JEWELL VISION CARE, INC, 689 LANCASTER BYP E, LANCASTER, SC",Optometrist,3,5000,8032832020.0
3228,"VISIONWORKS INC, 1785 RADIO DR, WOODBURY, MN",Optician,5,3000,6515010920.0
3229,"NEW JERSEY CVS PHARMACY LLC, 29 DEFOREST AVE, SUMMIT, NJ",Pharmacy,3,5000,9082730360.0
3230,"WALGREEN CO, 5600 S 1ST ST, AUSTIN, TX",Pharmacy,2,3000,5124414747.0
3231,"LOUISIANA CVS PHARMACY LLC, 1731 MANHATTAN BLVD, HARVEY, LA",Pharmacy,1,5000,5043641659.0
3232,"ALBERTSONS LLC, 3137 GRAND AVE, BILLINGS, MT",Pharmacy|Grocery Store,3,5000,4066528359.0
3233,"WALMART INC, 745 W HILL FIELD RD, LAYTON, UT",Pharmacy|Optician,3,2000,8015461993.0
3234,"KANSAS CVS PHARMACY LLC, 9521 MISSION RD, OVERLAND PARK, KS",Pharmacy,2,5000,9133832823.0
3235,"HANGER PROSTHETICS & ORTHOTICS WEST INC, 115 S CANDY LN, COTTONWOOD, AZ",Orthotic Personnel|Prosthetic Personnel,2,3000,9286391211.0
3236,"RISER FOODS COMPANY, 21593 LORAIN RD, FAIRVIEW PARK, OH",Pharmacy,3,2000,4403563677.0
3237,"AIDS HEALTHCARE FOUNDATION, 3580 5TH AVE, SAN DIEGO, CA",Pharmacy,1,3000,6195749700.0
3238,"MAISHA OPTICAL LLC, 1251 E MCANDREWS RD, MEDFORD, OR",Optometrist,4,3000,5417791392.0
3239,"CUSTOM HEALTHCARE, LLC, 3700 BRAINERD RD, STE 134, CHATTANOOGA, TN",Medical Supply Company Other|MSC With Orthotic Personnel|MSC With Prosthetic Personnel|MSC With Orthotic-Prosthetic|Orthotic Personnel|Prosthetic Personnel,5,3000,4236970057.0
3240,"VALLEY OPTICIANS INC., 780 NW GARDEN VALLEY BLVD, ROSEBURG, OR",Optician,2,5000,5416725400.0
3241,"HENRY FORD HEALTH SYSTEM, 39450 W 12 MILE RD, NOVI, MI",Pharmacy,5,4000,2483440705.0
3242,"ALLY MEDICAL SUPPLY INC, 9247 N MERIDIAN ST, INDIANAPOLIS, IN",Medical Supply Company Other,2,3000,3124935657.0
3243,"WALGREEN CO, 2702 N ARGONNE RD, MILLWOOD, WA",Pharmacy,1,5000,5098921637.0
3244,"GARFIELD BEACH CVS LLC, 313 WASHINGTON ST, SAN DIEGO, CA",Pharmacy,1,4000,6192917170.0
3245,"PUBLIX TENNESSEE, LLC, 198 FOOTHILLS MALL, MARYVILLE, TN",Pharmacy,2,2000,8655180972.0
3246,"LONGS DRUG STORES CALIFORNIA LLC, 13763 MONO WAY, SONORA, CA",Pharmacy,4,4000,2095326973.0
3247,"WAL-MART STORES EAST LP, 180 N LEE ST, FORSYTH, GA",Pharmacy,3,2000,4789946005.0
3248,"CVS PHARMACY INC, 165 UNIVERSITY DRIVE, AMHERST, MA",Pharmacy,1,2000,4132560421.0
3249,"PROCARE PHARMACY LLC, 35 KNEELAND ST, BOSTON, MA",Pharmacy,1,2000,6175421885.0
3250,"HANGER PROSTHETICS & ORTHOTICS INC, 2655 INTERPLEX DR, TREVOSE, PA",Orthotic Personnel|Prosthetic Personnel,4,5000,2152444100.0
